"Tidsstempel","For how long have you been knitting?","How often do you knit?","How many consecutive hours do you knit per session? (Chose the answer that fits the best on average)","Where are you based?","Why do you knit? ","How did you learn how to knit?","Where do you most often knit?","Where do you get inspiration for new knitting designs from?  ","What is your favorite type(s) of knitting project? ","What size of knitting project do you often do?","How do you choose yarn for your projects? ","Where do you often buy yarn and why?","Is there anything you would like to add about your life as a knitter? ","Which tools/haberdashery/equipment have you used during a knitting project? Choose all you have ever used","Choose the 3 most important tools (I know it can be difficult)","When starting a new knitting project do you make sure you are able to execute the pattern or do you just jump directly into it?","Please elaborate on your question above. E.g., what motivates you about a pattern?, where do you learn new skills?","Where do you mostly get help if you encounter a problem or a technique/stitch type you can't execute?","Do you prefer physical or digital knitting patterns?","What tools would be preferable to have in an knitting app? ","Would sharing the information in the app be a necesity? (E.g., be able to see the your registered amount of yarn on multiple devices)","If yes: why would it be nice to share the data? Is there some situations where it could beneficial?","Do you have anything else to share when talking about knitting apps?","Is there anything you would like to add?"
"2022/10/07 5:07:13 PM CET","More than 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV)","The older generations in my family passed the craft on to me","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Personal websites of knitwear designers;Desingners seeking pattern testing","Gifts for friends and family;Household items;Knitwear for my children","Small projects (E.g., gloves, hats, socks, cloths)","I choose yarn based on its quality/texture/material/color","Online shops because the yarn selection (brands, material, colors) is greater","I was not able to accurately respond to the question ""What size of knitting project do you often do?"" because I almost always have at least two projects active: one small and one larger (often a large blanket or shawl)

","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Cable needles;Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Notebook & pen","Stitch markers;Circular needles;Equiment for blocking","The difficult level/techniques doesn't hold me back. I will just jump into it!","I like to try new things.  I often find that, in testing for designers, there will be a new technique/stitch/concept that I have never seen before. I learn either from the designer's instructions, YouTube videos, or knitting reference books (sometimes all three)
","See answer above.  This most often happens to me when testing a new pattern.  If needed, I'll ask the designer for clarification","Physical","Overview of knitting projects;Digital patterns;General notes","Yes, it could be nice to share the data on multiple devices","","",""
"2022/10/07 5:29:37 PM CET","11 - 20 years","Daily","Less than an hour","Germany","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV)","The older generations in my family passed the craft on to me","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Gifts for friends and family;Household items","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color;I spin it myself","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater;Online shops because the physical shop is too far away from my position","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Cable needles;Yarn needles;Equiment for blocking;Yarn threader;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Darning egg;Knitting app(s);Notebook & pen;crochet hook (for fixing mistakes)","Measureing tape;Circular needles;Double-pointed needles","Make sure I can do ALL the techniques","","YouTube offers great help","Digital","Storage for yarn and needles;Overview of knitting projects;Digital patterns;Knitting counter;Tool for calculating yarn amount;Page for inspiration","Yes, it could be nice to share the data on multiple devices","","",""
"2022/10/07 6:01:55 PM CET","More than 20 years","Daily","1 - 2 hours","Great Britain","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To explore possibilities, and try out some of the many ""what-ifs"" I've thought up since starting to knit in the mid-1950's","The older generations in my family passed the craft on to me","at home, at my studio, with others at the weekly textile session I run, teaching knitting and crochet at stitching shows etc.","I design for myself from yarn I have spun or purchased, and also consult books I own along with using Ravelry several times a day","Knitwear for myself;Gifts for friends and family;I knit sculptural forms with fine wire, some of which can be worn pinned to clothing","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I buy yarn from my favorite manufacturer;I often choose the yarn that is one sale or if there is a great offer;I choose yarn based on its quality/texture/material/color;I buy fibre and spin the yarn I need for a project","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater;Online shops because the physical shop is too far away from my position;From yarn shows, such as the Bakewell Wool Gathering in Derbyshire, which I will attend tomoorow","Knitting is part of me - as are other creative activities - it constantly excites, thrills, soothes me, as well as providing unique items for myself and others ","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Needle gauge;Swatch gauge;Yarn needles;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Darning egg;Notebook & pen","Circular needles;Double-pointed needles;Equiment for blocking","The difficult level/techniques doesn't hold me back. I will just jump into it!","It depends on what the skills are, usually I consult a book such as Montse Stanley's ""Handknitters Handbook"" if I need to learn a new to me (or seldom used) technique","I research it myself in my vast knitting library, but sometimes find help pmline, usually via Ravelry","","Storage for yarn and needles;Overview of knitting projects;Overview of gauge swatches;Digital patterns;Location of yarn shops;Video tutorials;Ravelry already supplies the majority of these ...","","","So far, Ravelry and downloaded online patterns provide most of what I require - I also make note on paper, and some on electronic devices such as my phone",""
"2022/10/07 6:32:17 PM CET","1 - 5 year(s)","Weekly","1 - 2 hours","USA","Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);The feeling of looking at a finished project and being able to say “I made that!”","Books","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Gifts for friends and family","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I often choose the yarn that is one sale or if there is a great offer","Physical shops to be able to feel the yarn","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles;Equiment for blocking;Yarn threader;Scissor / Yarn cutter;Stitch stoppers / point protectors;Notebook & pen","Stitch markers;Double-pointed needles;Row/round counter / knitting counter","","I tend to be in between the two answers. I’m open to trying patterns with new techniques but I will look over a pattern and practice any new skills before trying them on the actual project ","YouTube offers great help","Physical","Storage for yarn and needles;Overview of knitting projects;Overview of gauge swatches;Digital patterns;Tool for calculating yarn amount;Page for inspiration;Video tutorials","Yes, it could be nice to share the data on multiple devices","It’s useful to be able to access information on different devices. For example if you don’t have a certain device on you at the time","Nope :)",""
"2022/10/07 6:47:28 PM CET","More than 20 years","Weekly","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;Trying to live more sustainable","The older generations in my family passed the craft on to me","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Personal websites of knitwear designers;Fashion industry","Knitwear for myself","Large projects (E.g., adults knitwear)","I choose yarn based on its quality/texture/material/color","Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Trio needles;Needle gauge;Swatch gauge;Yarn needles;Equiment for blocking;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Knit ring / yarn guide;Stitch stoppers / point protectors;Darning egg;Knitting app(s);Notebook & pen","Stitch markers;Measureing tape;Circular needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","","YouTube offers great help","Digital","Storage for yarn and needles;Overview of knitting projects;Digital patterns","Yes, it could be nice to share the data on multiple devices","","",""
"2022/10/07 7:01:25 PM CET","More than 20 years","Daily","1 - 2 hours","Great Britain","Get relaxed and relief stress;To produce garments and accessories I can wear or give to others","The older generations in my family passed the craft on to me","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Gifts for friends and family","Large projects (E.g., adults knitwear)","I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops because the physical shop is too far away from my position","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Trio needles;Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles;Equiment for blocking;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Notebook & pen","Stitch markers;Double-pointed needles;Row/round counter / knitting counter","The difficult level/techniques doesn't hold me back. I will just jump into it!","Experience plus occasional workshops ","I have enough experience to work it out for myself ","Physical","Overview of gauge swatches;Tool for calculating yarn amount;Video tutorials","Yes, it could be nice to share the data on multiple devices","","I generally don’t feel any need for an app ",""
"2022/10/07 7:25:59 PM CET","11 - 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Trying to live more sustainable;Satisfaction of watching something being created.","Through friends","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Magazines;Yarn shops","Knitwear for myself;Gifts for friends and family","Small projects (E.g., gloves, hats, socks, cloths)","I choose the suggested yarn from the designer;I buy yarn from my favorite manufacturer;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops because the physical shop is too far away from my position","I knit because I enjoy it","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Equiment for blocking;Scissor / Yarn cutter;Stitch stoppers / point protectors;Darning egg;Notebook & pen;I am also a quilter and have multipurposed some quilting tools for knitting. Like flat, square measures used for rotary cutting etc. but they are great for measuring gauge swatches and larger pieces.","Double-pointed needles;Scissor / Yarn cutter;Notebook & pen","The difficult level/techniques doesn't hold me back. I will just jump into it!","the beauty of a pattern motivates me. I find help with new skills mainly online in videos, or I ask questions in the Ravelry community. Or I go to a yarn store. I also have a few helpful stitch bibles.","YouTube offers great help","Physical","Digital patterns;Tool for calculating yarn amount;Page for inspiration;Location of yarn shops;Video tutorials","Yes, it could be nice to share the data on multiple devices","I would love to upload my data to Ravelry. My notebook there has less than half my projects. ","I'd love to be able to keep an inventory of my tools, even my yard, and save it on a thumb drive in my fireproof safe in case I ever need to make an insurance claim. (Weird, I know). but the costs add up and we can end up with a lot more tools and costs than we realize over time.","It might be nice if this app was able to be generalized, say, for quilting (tools, fabrics, etc) and also my favorite paper craft, Pergamano. Same thing, gosh...the thousands I have spent in tools for that.. (You will have to google to see what Pergamano is). IE. a Knitting and other craft app. So make it like a database for many apps with customized headers etc. Also, I usually use digital patterns, but print them to mark them up (and use them wherever) then keeping all my notes becomes a problem. Rescan and upload back? Just tossing ideas your way. Good luck with your Master's."
"2022/10/07 8:03:58 PM CET","11 - 20 years","Daily","Less than an hour","USA","Get relaxed and relief stress;Being social;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV)","A combination of my mom and Youtube, with help from books","All of the above, also at work on breaks","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Magazines","Knitwear for myself;Gifts for friends and family","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops because it is often cheaper","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Needle gauge;Swatch gauge;Yarn needles;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Darning egg;Notebook & pen","Stitch markers;Circular needles;Yarn needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","I don't use a lot of patterns, so I usually just want to make something and then decide to do it.","Ravelry first, then youtube.","Digital","Overview of knitting projects;Digital patterns;Tool for calculating yarn amount;Location of yarn shops;General notes","Yes, it could be nice to share the data on multiple devices","On my phone when I'm on the go, but I usually prefer to work from my computer or tablet.","",""
"2022/10/07 8:32:13 PM CET","More than 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being social;Being creative by trying new stitch types, knitting techniques or new designs","The older generations in my family passed the craft on to me","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Knitting stitch dictionaries","Knitwear for myself;Gifts for friends and family","Large projects (E.g., adults knitwear)","I have soooo much yarn at home","Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Cable needles;Needle gauge;Row/round counter / knitting counter;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Notebook & pen","Circular needles;Row/round counter / knitting counter;Wool winder","Make sure I can do ALL the techniques","","YouTube offers great help","Digital","Storage for yarn and needles;Overview of knitting projects;Overview of gauge swatches;Digital patterns;Knitting counter;Tool for calculating yarn amount;Page for inspiration;Location of yarn shops;Video tutorials;General notes;You’ve listed just almost all the attributes of Ravelry","Yes, it could be nice to share the data on multiple devices","","I done think I need one",""
"2022/10/07 8:46:53 PM CET","More than 20 years","Daily","Less than an hour","Great Britain","To make things","The older generations in my family passed the craft on to me","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Knitwear for my children","Medium projects (E.g., knitwear for children, bags)","I choose yarn based on its quality/texture/material/color;Based on cultural links to the pattern, also provenance e.g. local flocks","Online shops because the physical shop is too far away from my position;Don’t have time to access nearby physical shops.","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Needle gauge;Row/round counter / knitting counter;Yarn needles;Scissor / Yarn cutter;Darning egg;Notebook & pen;Swift","Circular needles;Double-pointed needles;Knitting needles (straight knitting needles)","The difficult level/techniques doesn't hold me back. I will just jump into it!","If it is something I want to wear/want my child to wear (he is 3), and uses techniques that I like.","Blogs","Digital","Overview of knitting projects;Tool for calculating yarn amount;Video tutorials","Yes, it could be nice to share the data on multiple devices","More convenient ","",""
"2022/10/07 9:22:58 PM CET","More than 20 years","Daily","1 - 2 hours","Germany","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV)","At school","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Household items;Knitwear for my children","Medium projects (E.g., knitwear for children, bags)","I have soooo much yarn at home;I buy yarn from my favorite manufacturer;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Physical shops to get help from the shop owner;Online shops because the yarn selection (brands, material, colors) is greater;Online shops to get a better overview","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Needle gauge;Yarn needles;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Darning egg;Notebook & pen","Stitch markers;Measureing tape;Circular needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","I know I can make everything. and alter patterns to my liking.","other websites (google search) without films","Physical","Storage for yarn and needles;Overview of knitting projects;Overview of gauge swatches;Location of yarn shops;General notes","Yes, it could be nice to share the data on multiple devices","Ravelry is my knitting app. And I can access my data from every device.","","I don't need a knitting app."
"2022/10/07 9:27:41 PM CET","More than 20 years","Weekly","1 - 2 hours","Canada","Get relaxed and relief stress;Being social;To let the hours pass by (eg., while traveling, watching TV)","School","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Magazines;personal patterns","Knitwear for myself;Gifts for friends and family;Household items","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home","Online shops because the yarn selection (brands, material, colors) is greater","I learned to knit at age 8 now at age 73 there is still much to learn and explore. I am realising I will never get it all done","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Trio needles;Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles;Equiment for blocking;Yarn threader;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Knit ring / yarn guide;Stitch stoppers / point protectors;Notebook & pen","Circular needles;Double-pointed needles;Knitting needles (straight knitting needles)","The difficult level/techniques doesn't hold me back. I will just jump into it!","would I wear this, do I have the right yarn, how difficult it will be, can I watch TV and knit.","Ravelry","Physical","Don't have a cell phone and don't use apps","","","","I love to knit"
